No.of days Until Today,No.of days,Target start date to Today,Project Name,Project Category,Ancestors,Project Manager,Phase/Milestone,Area,At Risk?,Schedule Health,Task Name,Status,% Complete,Start Date,End Date,Priority,Owner,On Hold?,Not Applicable?,Duration,Predecessors,Total Float,Critical ?,Baseline Start,Baseline Finish,Variance,Status Comment,Baseline Start Date,Baseline End Date,Comments,Assigned To,Start,Finish,Baseline Start2,Baseline Finish2,Variance2
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Red,Supplier Bulk Upload on STAGING,In Progress,0.05,2026-06-12,2026-07-15,,,,,24d,,62.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Red,UniSan to provide supplier bulk upload data in the template provided by Zycus from UniSan's Staging environment,In Progress,0.5,2026-06-12,2026-06-12,,,,,1d,260FS -29d,45.0000000347,,,,,,,,,"UniSan IT Project Manager, UniSan IT Team, UniSan Project Manager",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Red,Zycus to review the files and provide feedback,In Progress,0.5,2026-06-15,2026-06-15,,,,,1d,263,45.0000000347,,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Red,UniSan to provide updated bulk upload data,Not Started,0.0,2026-06-23,2026-06-24,,,,,2d,264FS +5d,45.0000000347,,,,,,,,,"UniSan IT Project Manager, UniSan IT Team, UniSan Project Manager",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Red,Zycus to bulk upload supplier data on STAGING setup,Not Started,0.0,2026-06-25,2026-06-26,,,,,2d,265,45.0000000347,,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Red,UniSan to review bulk uploaded data,Not Started,0.0,2026-06-29,2026-07-01,,,,,3d,266,49.0000001389,,,,,,,,,UniSan Core Project Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Red,UniSan to sign off on supplier bulk upload,Not Started,0.0,2026-07-01,2026-07-01,,,,,1d,267FF,50.0000001042,,,,,,,,,UniSan Project Manager,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Yellow,UniSan Prod migration Supplier,Not Started,0.0,2026-07-02,2026-07-15,,,,,10d,268,50.0000000694,,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Integration iSupplier,In Progress,0.38,2026-06-25,2026-07-16,,,,,16d,,61.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,iSupplier Integration,In Progress,0.38,2026-06-25,2026-07-16,,,,,16d,,61.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Red,Integration Design,In Progress,0.63,2026-06-25,2026-06-30,,,,,4d,,73.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Mapping activity for Integration,Completed,1.0,2026-06-25,2026-06-25,,,,,1d,200,24.0000000347,,,,,,,,,"UniSan Integration Team, Zycus Integration Specialist",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Share TDD for interface,Completed,1.0,2026-06-26,2026-06-26,,,,,1d,273,27.0000000347,,,,,,,,,Zycus Integration Lead,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Red,Review of TDD and share feedback with Zycus,In Progress,0.5,2026-06-29,2026-06-29,,,,,1d,274,24.0000000347,,,,,,,,,UniSan Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Red,Sign off on TDD,Not Started,0.0,2026-06-30,2026-06-30,,,,,1d,275,27.0000000347,,,,,,,,,UniSan Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Green,Development and Testing on STAGING Set Up,In Progress,0.29,2026-07-01,2026-07-16,,,,,12d,,61.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Integration set up and development at Zycus,In Progress,0.8,2026-07-06,2026-07-10,,,,,5d,276FS +3d,24.0000000347,,,,,,,,,Zycus Integration Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Red,Integration development at UniSan - as applicable,Not Started,0.0,2026-07-01,2026-07-07,,,,,5d,276,24.0000000347,,,,,,,,,UniSan Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Integration Unit Testing and Feedback Incorporation,Not Started,0.0,2026-07-13,2026-07-14,,,,,2d,"278, 279",24.0000000347,,,,,,,,,Zycus Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Systems Integration Testing,Not Started,0.0,2026-07-15,2026-07-16,,,,,2d,,61.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,8,Rajat Bothra,,,,Green,SIT on STAGING Set Up,Not Started,0.0,2026-07-15,2026-07-16,,,,,2d,280,23.0000000347,,,,,,,,,"UniSan Integration Team, Zycus Integration Team",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,8,Rajat Bothra,,,,Green,Sign off on SIT,Not Started,0.0,2026-07-16,2026-07-16,,,,,1d,282FF,23.0000001736,,,,,,,,,UniSan Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Red,eInvoice Integration: Completion of Design,Not Started,0.0,2026-06-30,2026-06-30,,,,,0,272,73.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,eInvoice Integration: Completion of Development and Testing,Not Started,0.0,2026-07-16,2026-07-16,,,,,0,277,61.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,eInvoice Integration: Completion of SIT,Not Started,0.0,2026-07-16,2026-07-16,,,,,0,281,61.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Integration iSupplier - Exiger,Not Started,0.0,2026-07-23,2026-08-11,,,,,14d,,43.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,iSupplier Integration,Not Started,0.0,2026-07-23,2026-08-11,,,,,14d,,43.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Green,Integration Design,Not Started,0.0,2026-07-23,2026-07-28,,,,,4d,,53.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Mapping activity for Integration,Not Started,0.0,2026-07-23,2026-07-23,,,,,1d,256,42.0000000694,,,,,,,,,"UniSan Integration Team, Zycus Integration Specialist",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Share TDD for interface,Not Started,0.0,2026-07-24,2026-07-24,,,,,1d,290,42.0000000694,,,,,,,,,Zycus Integration Lead,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Review of TDD and share feedback with Zycus,Not Started,0.0,2026-07-27,2026-07-27,,,,,1d,291,42.0000000694,,,,,,,,,UniSan Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Sign off on TDD,Not Started,0.0,2026-07-28,2026-07-28,,,,,1d,292,42.0000000694,,,,,,,,,UniSan Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,6,Rajat Bothra,,,,Green,Development and Testing on STAGING Set Up,Not Started,0.0,2026-07-29,2026-08-11,,,,,10d,,43.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Integration set up and development at Zycus,Not Started,0.0,2026-07-29,2026-08-04,,,,,5d,293,42.0000001042,,,,,,,,,Zycus Integration Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Integration development at UniSan - as applicable,Not Started,0.0,2026-07-29,2026-08-04,,,,,5d,293,42.0000001042,,,,,,,,,UniSan Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Integration Unit Testing and Feedback Incorporation,Not Started,0.0,2026-08-05,2026-08-06,,,,,2d,"295, 296",42.0000000694,,,,,,,,,Zycus Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,7,Rajat Bothra,,,,Green,Systems Integration Testing,Not Started,0.0,2026-08-07,2026-08-11,,,,,3d,,43.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,8,Rajat Bothra,,,,Green,SIT on STAGING Set Up,Not Started,0.0,2026-08-07,2026-08-11,,,,,3d,297,42.0000000347,,,,,,,,,"UniSan Integration Team, Zycus Integration Team",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,8,Rajat Bothra,,,,Green,Sign off on SIT,Not Started,0.0,2026-08-11,2026-08-11,,,,,1d,299FF,43.0,,,,,,,,,UniSan Integration Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,eInvoice Integration: Completion of Design,Not Started,0.0,2026-07-28,2026-07-28,,,,,0,289,53.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,eInvoice Integration: Completion of Development and Testing,Not Started,0.0,2026-08-11,2026-08-11,,,,,0,294,43.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,eInvoice Integration: Completion of SIT,Not Started,0.0,2026-08-11,2026-08-11,,,,,0,298,43.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,iSupplier: Conclude Functional Configuration,Not Started,0.0,2026-07-22,2026-07-22,,,,,0,257,57.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Value KPI Report creation on Staging,Not Started,0.0,2026-07-23,2026-07-24,,,,,2d,261,51.0000000694,,,,,,,,,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Value KPI Report demo on Staging,Not Started,0.0,2026-07-27,2026-07-28,,,,,2d,305,51.0000000347,,,,,,,,,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,1,Rajat Bothra,,,,Green,iSource Configuration,Not Started,0.0,2026-07-22,2026-08-06,,,,,12d,,46.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,iSource Deployment,Not Started,0.0,2026-07-22,2026-08-06,,,,,12d,,46.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Functional Configuration Finalization on STAGING set Up,Not Started,0.0,2026-07-22,2026-08-06,,,,,12d,,46.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,User Roles configuration,Not Started,0.0,2026-07-22,2026-07-22,,,,,1d,163,0.0,1.0,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Admin settings configuration,Not Started,0.0,2026-07-23,2026-07-24,,,,,2d,310,0.0,1.0,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Readiness for Pre-UAT,Not Started,0.0,2026-07-27,2026-07-28,,,,,2d,311,0.0,1.0,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Pre-UAT on STAGING,Not Started,0.0,2026-07-29,2026-08-06,,,,,7d,,46.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,Pre-UAT - Provide End to end walkthrough of configured iSource to the Customer,Not Started,0.0,2026-07-29,2026-07-30,,,,,2d,312,0.0,1.0,,,,,,,,"Zycus Consultant, Zycus Product Specialist",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,Provide feedback - if any for iSource configuration,Not Started,0.0,2026-07-31,2026-08-04,,,,,3d,314,0.0,1.0,,,,,,,,UniSan Project Manager,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,Zycus to incorporate feedback - as applicable and share final version of Implementation Approach Document [IAD],Not Started,0.0,2026-08-05,2026-08-06,,,,,2d,"314, 315",0.0,1.0,,,,,,,,"Zycus Consultant, Zycus Product Specialist",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,Sign off on Pre-UAT and final version of IAD,Not Started,0.0,2026-08-06,2026-08-06,,,,,0,316,0.0,1.0,,,,,,,,UniSan Project Manager,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,iSource : Conclude Functional Configuration,Not Started,0.0,2026-08-06,2026-08-06,,,,,0,317,23.0000001736,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,1,Rajat Bothra,,,,Green,Merlin Intake Configuration,Not Started,0.0,2026-07-22,2026-08-05,,,,,11d,,47.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Merlin intake Deployment,Not Started,0.0,2026-07-22,2026-08-05,,,,,11d,,47.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Functional Configuration Finalization on STAGING set Up,Not Started,0.0,2026-07-22,2026-08-05,,,,,11d,,47.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,User Roles configuration,Not Started,0.0,2026-07-22,2026-07-22,,,,,1d,163,4.0000002778,,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Admin settings configuration,Not Started,0.0,2026-07-23,2026-07-24,,,,,2d,322,4.0000002778,,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Readiness for Pre-UAT,Not Started,0.0,2026-07-27,2026-07-28,,,,,2d,323,4.0000002778,,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Pre-UAT on STAGING,Not Started,0.0,2026-07-29,2026-08-05,,,,,6d,,47.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,Pre-UAT - Provide End to end walkthrough of configured Merlin Intake to the Customer,Not Started,0.0,2026-07-29,2026-07-30,,,,,2d,324,4.0000002778,,,,,,,,,"Zycus Consultant, Zycus Product Specialist",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,Provide feedback - if any for Merlin Intake configuration,Not Started,0.0,2026-07-31,2026-08-03,,,,,2d,326,4.0000002778,,,,,,,,,UniSan Project Manager,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,Zycus to incorporate feedback - as applicable and share final version of Implementation Approach Document [IAD],Not Started,0.0,2026-08-04,2026-08-05,,,,,2d,"326, 327",4.0000002778,,,,,,,,,"Zycus Consultant, Zycus Product Specialist",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,5,Rajat Bothra,,,,Green,Sign off on Pre-UAT and final version of IAD,Not Started,0.0,2026-08-05,2026-08-05,,,,,0,328,4.0000002778,,,,,,,,,UniSan Project Manager,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Merlin Intake : Conclude Functional Configuration,Not Started,0.0,2026-08-05,2026-08-05,,,,,0,329,4.0000002778,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,1,Rajat Bothra,,,,Green,User Acceptance Testing (UAT) Phase II,Not Started,0.0,2026-08-07,2026-08-24,,,,,12d,,34.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Prepare for UAT,Not Started,0.0,2026-08-07,2026-08-12,,,,,4d,,42.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Prepare the UAT Approach,Not Started,0.0,2026-08-07,2026-08-07,,,,,1d,"317, 330",0.0,1.0,,,,,,,,"Zycus Product Specialist, Zycus Project Manager",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Finalize and agree on UAT Approach,Not Started,0.0,2026-08-10,2026-08-10,,,,,1d,333,0.0,1.0,,,,,,,,"UniSan Core Project Team, UniSan Project Manager",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Provide users & roles on STAGING required for UAT,Not Started,0.0,2026-08-10,2026-08-10,,,,,1d,333,43.0000000347,,,,,,,,,"UniSan Project Manager, UniSan Project Team, UniSan SME",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Create users on STAGING set for UAT group,Not Started,0.0,2026-08-11,2026-08-11,,,,,1d,335,43.0,,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Provide Standard Test Cases,Not Started,0.0,2026-08-11,2026-08-11,,,,,1d,334,0.0,1.0,,,,,,,,"Zycus Consultant, Zycus Product Specialist",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Finalize Test Cases,Not Started,0.0,2026-08-12,2026-08-12,,,,,1d,337,0.0,1.0,,,,,,,,UniSan Core Project Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Quality Reviews,Not Started,0.0,2026-08-07,2026-08-10,,,,,2d,,44.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Schedule for quality check,Not Started,0.0,2026-08-07,2026-08-07,,,,,1d,"178, 240, 261, 318, 330, 283",23.0000001736,,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,"Perform quality checks, PSRs as per quality checklist and submit to QC team",Not Started,0.0,2026-08-10,2026-08-10,,,,,1d,340,23.0000001389,,,,,,,,,Zycus Product Specialist,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Quality Check by Zycus QC team,Not Started,0.0,2026-08-10,2026-08-10,,,,,0,341,21.0000001389,,,,,,,,,Zycus Quality Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,End-to-End UAT,Not Started,0.0,2026-08-11,2026-08-24,,,,,10d,,34.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,UAT Intake and iSource,Not Started,0.0,2026-08-13,2026-08-17,,,,,3d,"317, 330, 338",0.0,1.0,,,,,,,,UniSan Core Project Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Defect Analysis & UAT Feedback incorporation and share Test Closure Memo,Not Started,0.0,2026-08-14,2026-08-18,,,,,3d,344SS +1d,0.0,1.0,,,,,,,,Zycus Project Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,UniSan to provide sign off on Test Closure Memo,Not Started,0.0,2026-08-19,2026-08-20,,,,,2d,345,0.0,1.0,,,,,,,,"UniSan Core Project Team, UniSan Project Manager",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,"UAT iSupplier, eProc, eInvoice and CLM",Not Started,0.0,2026-08-11,2026-08-19,,,,,7d,"240, 261, 177, 342",18.0000000347,,,,,,,,,UniSan Core Project Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Defect Analysis & UAT Feedback incorporation and share Test Closure Memo,Not Started,0.0,2026-08-12,2026-08-20,,,,,7d,347SS +1d,24.0000000347,,,,,,,,,Zycus Project Team,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,UniSan to provide sign off on Test Closure Memo,Not Started,0.0,2026-08-21,2026-08-24,,,,,2d,348,24.0,,,,,,,,,"UniSan Core Project Team, UniSan Project Manager",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,1,Rajat Bothra,,,,Green,UAT Completion,Not Started,0.0,2026-08-24,2026-08-24,,,,,0,"346, 349",24.0000000347,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,1,Rajat Bothra,,,,Green,Value KPI Sign-off,Not Started,0.0,2026-07-28,2026-07-28,,,,,0,306,51.0000000347,,,,,,,,,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,1,Rajat Bothra,,,,Green,Training Phase II,Not Started,0.0,2026-08-18,2026-09-02,,,,,12d,,27.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Training Preparation,Not Started,0.0,2026-08-18,2026-08-19,,,,,2d,,37.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Training Approach and Schedule finalization,Not Started,0.0,2026-08-18,2026-08-18,,,,,1d,344,35.0000001042,,,,,,,,,"UniSan Project Manager, Zycus Project Manager, Zycus University",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Training Agenda Finalization,Not Started,0.0,2026-08-19,2026-08-19,,,,,1d,354,35.0000000694,,,,,,,,,"UniSan Project Manager, Zycus University Trainer",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Train The Trainer,Not Started,0.0,2026-08-21,2026-09-02,,,,,9d,,27.0,,,,,,,,,,,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,iContract + Merlin for Contract Training,Not Started,0.0,2026-08-25,2026-08-26,,,,,2d,349,27.0000001042,,,,,,,,,"UniSan Project Team, Zycus University Trainer",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,iSource Training,Not Started,0.0,2026-08-21,2026-08-21,,,,,1d,"346, 355",34.0000000347,,,,,,,,,"UniSan Project Team, Zycus University Trainer",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,eProc Training,Not Started,0.0,2026-08-27,2026-08-28,,,,,2d,357,27.0000000694,,,,,,,,,"UniSan Project Team, Zycus University Trainer",,,,,
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,eInvoice and Merlin APSD Training,Not Started,0.0,2026-08-31,2026-08-31,,,,,1d,359,27.0000000347,,,,,,,,,"UniSan Project Team, Zycus University Trainer",,,,,
